# phi U(phi)
-3.141593 111.688666
-3.124091 110.318026
-3.106589 108.954952
-3.089087 107.599447
-3.071585 106.251518
-3.054083 104.911343
-3.036581 103.579021
-3.019079 102.254306
-3.001577 100.937213
-2.984075 99.627759
-2.966574 98.326307
-2.949072 97.032625
-2.931570 95.746649
-2.914068 94.468406
-2.896566 93.198008
-2.879064 91.935750
-2.861562 90.681319
-2.844060 89.434752
-2.826558 88.196085
-2.809056 86.965614
-2.791554 85.743303
-2.774053 84.529022
-2.756551 83.322816
-2.739049 82.124736
-2.721547 80.935257
-2.704045 79.754014
-2.686543 78.581057
-2.669041 77.416444
-2.651539 76.260401
-2.634037 75.113088
-2.616535 73.974305
-2.599033 72.844118
-2.581532 71.722596
-2.564030 70.610144
-2.546528 69.506593
-2.529026 68.411923
-2.511524 67.326210
-2.494022 66.249610
-2.476520 65.182477
-2.459018 64.124540
-2.441516 63.075885
-2.424014 62.036595
-2.406512 61.007006
-2.389011 59.987141
-2.371509 58.976909
-2.354007 57.976403
-2.336505 56.985716
-2.319003 56.005363
-2.301501 55.035034
-2.283999 54.074816
-2.266497 53.124811
-2.248995 52.185280
-2.231493 51.256437
-2.213991 50.338117
-2.196490 49.430427
-2.178988 48.533475
-2.161486 47.647700
-2.143984 46.772982
-2.126482 45.909333
-2.108980 45.056868
-2.091478 44.215771
-2.073976 43.386446
-2.056474 42.568650
-2.038972 41.762502
-2.021470 40.968121
-2.003969 40.185869
-1.986467 39.415812
-1.968965 38.657886
-1.951463 37.912214
-1.933961 37.178918
-1.916459 36.458538
-1.898957 35.750803
-1.881455 35.055821
-1.863953 34.373722
-1.846451 33.704786
-1.828949 33.049264
-1.811448 32.407009
-1.793946 31.778152
-1.776444 31.162822
-1.758942 30.561477
-1.741440 29.974026
-1.723938 29.400497
-1.706436 28.841023
-1.688934 28.295802
-1.671432 27.765264
-1.653930 27.249179
-1.636428 26.747681
-1.618927 26.260903
-1.601425 25.789216
-1.583923 25.332710
-1.566421 24.891326
-1.548919 24.465198
-1.531417 24.054460
-1.513915 23.659654
-1.496413 23.280527
-1.478911 22.917192
-1.461409 22.569782
-1.443907 22.238579
-1.426406 21.923849
-1.408904 21.625443
-1.391402 21.343494
-1.373900 21.078134
-1.356398 20.829813
-1.338896 20.598455
-1.321394 20.384079
-1.303892 20.186816
-1.286390 20.006856
-1.268888 19.844636
-1.251386 19.699915
-1.233885 19.572821
-1.216383 19.463481
-1.198881 19.372253
-1.181379 19.299228
