# phi U(phi)
-3.141593 61.674112
-3.124091 60.307295
-3.106589 58.955794
-3.089087 57.619609
-3.071585 56.298739
-3.054083 54.993185
-3.036581 53.702947
-3.019079 52.428025
-3.001577 51.168419
-2.984075 49.924128
-2.966574 48.695154
-2.949072 47.481495
-2.931570 46.283152
-2.914068 45.100125
-2.896566 43.932414
-2.879064 42.780018
-2.861562 41.642939
-2.844060 40.521175
-2.826558 39.414727
-2.809056 38.323595
-2.791554 37.247779
-2.774053 36.187278
-2.756551 35.142094
-2.739049 34.112225
-2.721547 33.097672
-2.704045 32.098435
-2.686543 31.114514
-2.669041 30.145909
-2.651539 29.192620
-2.634037 28.254646
-2.616535 27.331988
-2.599033 26.424646
-2.581532 25.532620
-2.564030 24.655910
-2.546528 23.794515
-2.529026 22.948437
-2.511524 22.117674
-2.494022 21.302227
-2.476520 20.502096
-2.459018 19.717281
-2.441516 18.947781
-2.424014 18.193598
-2.406512 17.454730
-2.389011 16.731178
-2.371509 16.022942
-2.354007 15.330022
-2.336505 14.652418
-2.319003 13.990129
-2.301501 13.343157
-2.283999 12.711500
-2.266497 12.095159
-2.248995 11.494134
-2.231493 10.908424
-2.213991 10.338031
-2.196490 9.782953
-2.178988 9.243192
-2.161486 8.718746
-2.143984 8.209616
-2.126482 7.715801
-2.108980 7.237303
-2.091478 6.774120
-2.073976 6.326254
-2.056474 5.893703
-2.038972 5.476468
-2.021470 5.074549
-2.003969 4.687945
-1.986467 4.316658
-1.968965 3.960686
-1.951463 3.620030
-1.933961 3.294690
-1.916459 2.984666
-1.898957 2.689958
-1.881455 2.410565
-1.863953 2.146489
-1.846451 1.897728
-1.828949 1.664283
-1.811448 1.446154
-1.793946 1.243341
-1.776444 1.055843
-1.758942 0.883661
-1.741440 0.726796
-1.723938 0.585246
-1.706436 0.459012
-1.688934 0.348094
-1.671432 0.252491
-1.653930 0.172205
-1.636428 0.107234
-1.618927 0.057579
-1.601425 0.023240
-1.583923 0.004217
-1.566421 0.000510
-1.548919 0.012118
-1.531417 0.039042
-1.513915 0.081283
-1.496413 0.138839
-1.478911 0.211710
-1.461409 0.299898
-1.443907 0.403402
-1.426406 0.522221
-1.408904 0.656356
-1.391402 0.805807
-1.373900 0.970574
-1.356398 1.150657
-1.338896 1.346056
-1.321394 1.556770
-1.303892 1.782800
-1.286390 2.024146
-1.268888 2.280808
-1.251386 2.552786
-1.233885 2.840080
-1.216383 3.142689
-1.198881 3.460615
-1.181379 3.793856
-1.163877 4.142413
-1.146375 4.506286
-1.128873 4.885474
-1.111371 5.279979
-1.093869 5.689799
-1.076367 6.114935
-1.058865 6.555387
-1.041364 7.011155
-1.023862 7.482239
-1.006360 7.968639
-0.988858 8.470354
-0.971356 8.987385
-0.953854 9.519732
-0.936352 10.067395
-0.918850 10.630374
-0.901348 11.208669
-0.883846 11.802279
-0.866344 12.411205
-0.848843 13.035448
-0.831341 13.675006
-0.813839 14.329879
-0.796337 15.000069
-0.778835 15.685574
-0.761333 16.386396
-0.743831 17.102533
-0.726329 17.833986
-0.708827 18.580755
-0.691325 19.342840
-0.673823 20.120240
-0.656322 20.912957
-0.638820 21.720989
-0.621318 22.544337
-0.603816 23.383001
-0.586314 24.236980
-0.568812 25.106276
-0.551310 25.990887
-0.533808 26.890815
-0.516306 27.806058
-0.498804 28.736617
-0.481302 29.682492
-0.463801 30.643682
-0.446299 31.620189
-0.428797 32.612011
-0.411295 33.619149
-0.393793 34.641603
-0.376291 35.679373
-0.358789 36.732459
-0.341287 37.800860
-0.323785 38.884578
-0.306283 39.983611
-0.288781 41.097960
-0.271280 42.227625
-0.253778 43.372605
-0.236276 44.532902
-0.218774 45.708514
-0.201272 46.899443
-0.183770 48.105687
-0.166268 49.327247
-0.148766 50.564122
-0.131264 51.816314
-0.113762 53.083821
-0.096260 54.366645
-0.078759 55.664784
-0.061257 56.978239
-0.043755 58.307010
-0.026253 59.651096
-0.008751 61.010499
0.008751 60.996025
0.026253 59.636785
0.043755 58.292861
0.061257 56.964252
0.078759 55.650959
0.096260 54.352982
0.113762 53.070321
0.131264 51.802976
0.148766 50.550946
0.166268 49.314233
0.183770 48.092835
0.201272 46.886753
0.218774 45.695987
0.236276 44.520537
0.253778 43.360402
0.271280 42.215584
0.288781 41.086081
0.306283 39.971894
0.323785 38.873023
0.341287 37.789468
0.358789 36.721229
0.376291 35.668305
0.393793 34.630697
0.411295 33.608406
0.428797 32.601430
0.446299 31.609769
0.463801 30.633425
0.481302 29.672397
0.498804 28.726684
0.516306 27.796287
0.533808 26.881206
0.551310 25.981441
0.568812 25.096992
0.586314 24.227858
0.603816 23.374041
0.621318 22.535539
0.638820 21.712353
0.656322 20.904483
0.673823 20.111929
0.691325 19.334691
0.708827 18.572768
0.726329 17.826161
0.743831 17.094870
0.761333 16.378895
0.778835 15.678236
0.796337 14.992893
0.813839 14.322865
0.831341 13.668154
0.848843 13.028758
0.866344 12.404678
0.883846 11.795914
0.901348 11.202466
0.918850 10.624333
0.936352 10.061517
0.953854 9.514016
0.971356 8.981831
0.988858 8.464962
1.006360 7.963408
1.023862 7.477171
1.041364 7.006250
1.058865 6.550644
1.076367 6.110354
1.093869 5.685380
1.111371 5.275722
1.128873 4.881379
1.146375 4.502353
1.163877 4.138642
1.181379 3.790247
1.198881 3.457168
1.216383 3.139405
1.233885 2.836958
1.251386 2.549826
1.268888 2.278011
1.286390 2.021511
1.303892 1.780327
1.321394 1.554459
1.338896 1.343907
1.356398 1.148670
1.373900 0.968750
1.391402 0.804145
1.408904 0.654856
1.426406 0.520883
1.443907 0.402226
1.461409 0.298884
1.478911 0.210859
1.496413 0.138149
1.513915 0.080755
1.531417 0.038677
1.548919 0.011915
1.566421 0.000469
1.583923 0.004338
1.601425 0.023523
1.618927 0.058025
1.636428 0.107842
1.653930 0.172974
1.671432 0.253423
1.688934 0.349188
1.706436 0.460268
1.723938 0.586664
1.741440 0.728376
1.758942 0.885404
1.776444 1.057748
1.793946 1.245408
1.811448 1.448383
1.828949 1.666674
1.846451 1.900281
1.863953 2.149204
1.881455 2.413443
1.898957 2.692998
1.916459 2.987868
1.933961 3.298055
1.951463 3.623557
1.968965 3.964375
1.986467 4.320509
2.003969 4.691958
2.021470 5.078724
2.038972 5.480805
2.056474 5.898202
2.073976 6.330915
2.091478 6.778944
2.108980 7.242289
2.126482 7.720950
2.143984 8.214926
2.161486 8.724218
2.178988 9.248826
2.196490 9.788750
2.213991 10.343990
2.231493 10.914546
2.248995 11.500417
2.266497 12.101604
2.283999 12.718108
2.301501 13.349927
2.319003 13.997061
2.336505 14.659512
2.354007 15.337278
2.371509 16.030361
2.389011 16.738759
2.406512 17.462473
2.424014 18.201503
2.441516 18.955849
2.459018 19.725510
2.476520 20.510487
2.494022 21.310781
2.511524 22.126390
2.529026 22.957315
2.546528 23.803555
2.564030 24.665112
2.581532 25.541984
2.599033 26.434173
2.616535 27.341677
2.634037 28.264497
2.651539 29.202633
2.669041 30.156084
2.686543 31.124852
2.704045 32.108935
2.721547 33.108334
2.739049 34.123049
2.756551 35.153080
2.774053 36.198427
2.791554 37.259089
2.809056 38.335068
2.826558 39.426362
2.844060 40.532972
2.861562 41.654898
2.879064 42.792139
2.896566 43.944697
2.914068 45.112570
2.931570 46.295760
2.949072 47.494265
2.966574 48.708086
2.984075 49.937222
3.001577 51.181675
3.019079 52.441443
3.036581 53.716528
3.054083 55.006928
3.071585 56.312644
3.089087 57.633676
3.106589 58.970023
3.124091 60.321687
3.141593 61.674112
